"n","n1","n2","n3","m1","m2","m3","s1","s2","s3","sk1","sk2","sk3","rdist","correl","par1_1","par2_1","par1_2","par2_2","st","wt","npbtt","wrst","ptt","ptta","ptte","pt","anov","kw","pft","npbft","n_simulations","nboot","conf","cellblock","runcode"
NA,10,49,NA,6,1,NA,4.228577,0.3239255,NA,-0.40019253,-0.9247626,NA,NA,NA,NA,NA,NA,NA,1,0.8,0.8,0.9,0.8,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724140323_9TDG1"
NA,14,14,NA,10,3,NA,1.9892935,3.345443,NA,-0.10334113,-0.45708194,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724143751_rRAfz"
NA,21,25,NA,4,4,NA,1.5100557,2.4985554,NA,1.0308938,1.425492,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724143903_fnyps"
NA,20,23,NA,7,2,NA,2.913911,0.97699857,NA,0.33870962,-0.1472126,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724144328_NpjMj"
NA,28,5,NA,2,7,NA,1.8988073,3.720335,NA,-1.479627,-1.2644354,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.8,0.9,0.5,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724144608_vAeBS"
NA,32,22,NA,1,1,NA,4.1080775,3.687217,NA,0.078747384,-1.3471823,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724144815_JRjT2"
NA,47,16,NA,10,9,NA,4.717555,1.9844201,NA,-1.8584315,0.58672416,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724145016_w9Dd0"
NA,29,6,NA,8,10,NA,4.0479527,0.07651105,NA,-0.8244649,0.64359564,NA,NA,NA,NA,NA,NA,NA,0.1,0.8,0.8,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724145232_lW0vT"
NA,38,41,NA,8,8,NA,1.3069818,2.3473432,NA,-0.25204387,-0.9217418,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0,0.2,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724145830_Dc849"
NA,25,17,NA,4,3,NA,4.995964,3.7229397,NA,1.0389553,0.77661884,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724145858_VF3hD"
NA,11,38,NA,8,5,NA,4.056186,1.4848173,NA,-0.042108834,1.2638154,NA,NA,NA,NA,NA,NA,NA,0.9,0.5,0.7,0.6,0.5,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724145925_DDNTk"
NA,46,13,NA,4,1,NA,1.2684325,1.6874087,NA,-0.32821694,0.59817296,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724145953_KOOQT"
NA,18,37,NA,2,6,NA,3.9167533,1.044974,NA,-0.26594454,-1.5043057,NA,NA,NA,NA,NA,NA,NA,0.9,0.7,0.8,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240724150020_AWyXb"
NA,33,47,NA,4,8,NA,1.8690016,3.2943232,NA,-0.65936744,0.13360952,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141212_N0cLX"
NA,40,5,NA,10,6,NA,3.0899825,0.15126112,NA,0.17773062,-0.883731,NA,NA,NA,NA,NA,NA,NA,0.9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141238_KXsul"
NA,5,47,NA,4,6,NA,3.633676,0.34554312,NA,0.9879146,1.767574,NA,NA,NA,NA,NA,NA,NA,0.8,0.1,0.4,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141304_KoMn7"
NA,41,43,NA,6,2,NA,0.26735806,4.8775725,NA,0.5807564,-1.8614362,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141331_iUeS6"
NA,50,38,NA,9,2,NA,4.95842,3.6060376,NA,-0.79905087,-0.55459946,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141359_2YqaG"
NA,20,42,NA,7,8,NA,2.830231,3.7572315,NA,0.73605233,1.8759849,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141429_iI6YQ"
NA,50,30,NA,1,2,NA,2.6112547,3.1632454,NA,-1.3224674,-1.5560477,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141456_ZPT5D"
NA,34,49,NA,3,8,NA,0.8801559,1.2211393,NA,0.35644695,-0.35164893,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141522_sDUZj"
NA,10,39,NA,7,4,NA,0.31642142,1.2795521,NA,-0.06168206,-0.31201825,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141548_yNDrx"
NA,39,39,NA,9,4,NA,3.1452553,1.2840776,NA,-0.28255916,0.16238625,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141615_7oUTy"
NA,9,39,NA,5,2,NA,1.0830764,0.9684498,NA,1.6747125,-0.3663241,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141644_aievu"
NA,9,26,NA,10,5,NA,0.50787467,0.48574832,NA,0.8912057,-1.6177908,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141709_mjQcx"
NA,33,40,NA,9,9,NA,3.224783,1.9795597,NA,-1.7081367,0.73772424,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141735_z9ctr"
NA,24,11,NA,8,1,NA,3.8913517,2.0482407,NA,-1.337838,-0.8522482,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725141810_M4nXF"
NA,19,26,NA,4,6,NA,4.045771,4.4727135,NA,-0.7680596,1.0145705,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725143826_EySUP"
NA,18,28,NA,1,4,NA,0.8346887,0.0194767,NA,-1.2205245,0.24816024,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725143851_IBZda"
NA,24,21,NA,2,9,NA,3.0517478,0.5932136,NA,-0.68732184,1.2307327,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725143918_JbVTr"
NA,16,34,NA,2,5,NA,3.8098178,4.667717,NA,-0.8018318,0.40430796,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.7,0.7,0.6,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725143943_hhC6r"
NA,14,11,NA,8,9,NA,1.2160274,3.553833,NA,1.2183317,0.12793443,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725144008_1fsRz"
NA,31,31,NA,3,7,NA,4.0914907,4.916307,NA,-1.3008821,0.41144195,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725144031_jz01w"
NA,6,18,NA,9,4,NA,4.3325024,2.4157286,NA,-1.9499434,0.7666172,NA,NA,NA,NA,NA,NA,NA,0.9,0.6,0.7,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725144056_zzxSD"
NA,11,30,NA,9,3,NA,2.5764513,0.08149253,NA,-1.0345929,1.9768628,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725144121_YVb56"
NA,44,35,NA,4,9,NA,0.0051448485,4.5444603,NA,-1.5512375,0.16274142,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725144435_CvWGF"
NA,47,50,NA,4,8,NA,0.49218112,1.5709013,NA,0.14031622,1.1831522,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725144503_nTQT4"
NA,23,6,NA,10,3,NA,3.5178175,3.8864083,NA,1.2800428,-1.3320478,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725145447_4OD0a"
NA,8,19,NA,9,1,NA,3.7948294,0.57065064,NA,1.285796,1.5194765,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725145512_NfhVo"
NA,44,14,NA,1,4,NA,4.4506416,2.9758668,NA,1.7176238,-0.85515153,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725145541_soVvz"
NA,6,6,NA,6,2,NA,0.9598264,0.17744789,NA,-0.72309625,-1.9833254,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725145606_hekKK"
NA,7,46,NA,4,8,NA,2.337569,1.8288056,NA,0.40867352,0.772825,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725145634_3rtiu"
NA,35,43,NA,2,1,NA,0.35051456,1.7840464,NA,-1.9253582,-1.7476829,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.6,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725145701_mZIwX"
NA,45,48,NA,5,8,NA,4.8834887,4.0323,NA,1.9529858,-0.565316,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.9,1,0.9,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725151144_ZCzpX"
NA,13,24,NA,9,3,NA,4.247548,0.5602667,NA,-1.6810273,-0.7948965,NA,NA,NA,NA,NA,NA,NA,1,0.9,1,1,0.9,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725151209_tPFfC"
NA,37,50,NA,8,3,NA,2.7110527,1.0728929,NA,0.106312044,-0.71510893,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725151458_vVwDs"
NA,26,11,NA,8,1,NA,2.6663249,4.30222,NA,1.1214905,0.6298331,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240725151523_iUfKH"
