"n","n1","n2","n3","m1","m2","m3","s1","s2","s3","sk1","sk2","sk3","rdist","correl","par1_1","par2_1","par1_2","par2_2","st","wt","npbtt","wrst","ptt","ptta","ptte","pt","anov","kw","pft","npbft","n_simulations","nboot","conf","cellblock","runcode"
NA,5,3,NA,5,5,NA,1,1,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c4.1","20240719144051_meY3D"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240719144111_YRhQN"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.036,0.06365503,0,0.036,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720142941_ek6Vw"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,0.041,0.06410257,0,0.041,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720143444_Bh9x4"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0.028,0.043196544,0,0.028,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720143901_gZYGP"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.039,0.054112554,0,0.039,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720144317_gxEpu"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,0.034,0.054176074,0,0.034,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720145415_GYdxJ"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0.036,0.06122449,0,0.036,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720145803_31vKJ"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.036,0.067391306,0,0.036,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720150320_SxLDM"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,0.027,0.043196544,0,0.027,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720150753_GQ17I"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,0.033,0.04312115,0,0.033,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720152113_p6SXx"
NA,3,3,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.036,0.065789476,0,0.036,NA,NA,NA,NA,NA,NA,NA,1000,1000,0.95,"replext_t2_c1.1","20240720152849_zxRNC"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240722144808_WAs0U"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240722151040_dftGs"
NA,5,5,NA,5,5,NA,1,1,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c2.1","20240722151319_77GXR"
NA,5,5,NA,5,7,NA,1,1,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t3_c3.1","20240722152318_gAND3"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723134427_F26be"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723151524_89ZUt"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723151750_twMuv"
NA,5,5,NA,20,20,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723151921_GAyWi"
NA,6,6,NA,20,20,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723152003_n9JIc"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723152121_uHHWB"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723152403_5Muhz"
NA,5,5,NA,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,1000,0.95,"replext_t2_c1.1","20240723153244_8BEN0"
